uid,wikidata_url,frwiki_url,education_institutions,degrees,majors,occupations,employers,education_detail
2960,http://www.wikidata.org/entity/Q288486,https://fr.wikipedia.org/wiki/%C3%89ric_Woerth,HEC Paris | Institut d'études politiques de Paris | université Paris-Panthéon-Assas,,,personnalité politique | personnes diverses sans activité professionnelle de 60 ans et plus sauf retraités,,HEC Paris | Institut d'études politiques de Paris | université Paris-Panthéon-Assas
2963,http://www.wikidata.org/entity/Q178339,https://fr.wikipedia.org/wiki/Kofi_Yamgnane,université de Bretagne-Occidentale | École nationale supérieure des mines de Nancy,,,ingénieur ou ingénieure | personnalité politique,,université de Bretagne-Occidentale | École nationale supérieure des mines de Nancy
2964,http://www.wikidata.org/entity/Q3099884,https://fr.wikipedia.org/wiki/Ga%C3%ABl_Yanno,Institut d'études politiques de Paris | université Paris-Dauphine | université Paris-Panthéon-Assas,,,personnalité politique,,Institut d'études politiques de Paris | université Paris-Dauphine | université Paris-Panthéon-Assas
2971,http://www.wikidata.org/entity/Q514965,https://fr.wikipedia.org/wiki/Marie-Jo_Zimmermann,,,,"personnalité politique | professeurs, professions scientifiques",,
2973,http://www.wikidata.org/entity/Q3079081,https://fr.wikipedia.org/wiki/%C3%89mile_Zuccarelli,lycée Thiers | École polytechnique,,,personnalité politique,,lycée Thiers | École polytechnique
301,http://www.wikidata.org/entity/Q3379248,https://fr.wikipedia.org/wiki/Philippe_Auberger,École nationale d'administration | École polytechnique,,,personnalité politique,,École nationale d'administration | École polytechnique
303108,http://www.wikidata.org/entity/Q3169552,https://fr.wikipedia.org/wiki/Jean-Pierre_Marcon,,,,pensionné | personnalité politique,,
303997,http://www.wikidata.org/entity/Q12944,https://fr.wikipedia.org/wiki/Fran%C3%A7ois-No%C3%ABl_Buffet,,,,avocat ou avocate | personnalité politique,,
304,http://www.wikidata.org/entity/Q3086090,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_d%27Aubert,HEC Paris | Institut d'études politiques de Paris | lycée Louis-le-Grand | École nationale d'administration,,,fonctionnaire | inspecteur des impôts | personnalité politique,,HEC Paris | Institut d'études politiques de Paris | lycée Louis-le-Grand | École nationale d'administration
304016,http://www.wikidata.org/entity/Q3472000,https://fr.wikipedia.org/wiki/Sandrine_Hurel,,,,personnalité politique,,
305,http://www.wikidata.org/entity/Q440732,https://fr.wikipedia.org/wiki/Marie-H%C3%A9l%C3%A8ne_Aubert,,,,personnalité politique | personnes diverses sans activité professionnelle de moins de 60 ans sauf retraités,,
307,http://www.wikidata.org/entity/Q3167556,https://fr.wikipedia.org/wiki/Jean-Marie_Aubron,,,,personnalité politique,,
308410,http://www.wikidata.org/entity/Q3142646,https://fr.wikipedia.org/wiki/Hugues_Martin,,,,personnalité politique,,
309,http://www.wikidata.org/entity/Q3383795,https://fr.wikipedia.org/wiki/Pierre_Aubry_(homme_politique),,,,personnalité politique,,
309643,http://www.wikidata.org/entity/Q3564277,https://fr.wikipedia.org/wiki/V%C3%A9ronique_Besse,lycée Blanche-de-Castille,,,personnalité politique | personnes diverses sans activité professionnelle de moins de 60 ans sauf retraités,,lycée Blanche-de-Castille
312,http://www.wikidata.org/entity/Q1685318,https://fr.wikipedia.org/wiki/Jean_Auclair,,,,anciens agriculteurs exploitants | pensionné | personnalité politique,,
314,http://www.wikidata.org/entity/Q3350769,https://fr.wikipedia.org/wiki/Olivier_Audibert-Troin,,,,personnalité politique,,
316,http://www.wikidata.org/entity/Q3099507,https://fr.wikipedia.org/wiki/Gautier_Audinot,,,,personnalité politique,,
320,http://www.wikidata.org/entity/Q3295734,https://fr.wikipedia.org/wiki/Martine_Aurillac,,,,personnalité politique,,
324,http://www.wikidata.org/entity/Q3170096,https://fr.wikipedia.org/wiki/Jean-Yves_Autexier,,,,personnalité politique,,
328,http://www.wikidata.org/entity/Q7711,https://fr.wikipedia.org/wiki/Jean-Marc_Ayrault,université de Nantes | université de Wurtzbourg,,,personnalité politique,,université de Nantes | université de Wurtzbourg
330008,http://www.wikidata.org/entity/Q427080,https://fr.wikipedia.org/wiki/Xavier_Breton,Institut d'études politiques de Paris,,,cadres de la fonction publique | personnalité politique,,Institut d'études politiques de Paris
330112,http://www.wikidata.org/entity/Q3155048,https://fr.wikipedia.org/wiki/Isabelle_Vasseur,,,,personnalité politique,,
330118,http://www.wikidata.org/entity/Q1674130,https://fr.wikipedia.org/wiki/Guy_Chambefort,École nationale d'ingénieurs de Saint-Étienne,,,personnalité politique,,École nationale d'ingénieurs de Saint-Étienne
